Name,Age,Net_Pay
Sallie Gomez,30,80282
Dexter Rasmussen,29,90655
Elise Golden,38,185036
Rosalyn Meyers,28,115453
Leon Kramer,28,76721
Lyman Sparks,26,98165
Mauro Mcgee,35,157656
Chauncey Hughes,27,99400
Ervin Roach,31,117430
Judith Cherry,26,120663
Vaughn Horton,28,86842
Claud Jacobs,27,96593
Vivian Ross,26,139341
Rachelle Flowers,28,91846
Garrett Doyle,27,91743
Rick Costa,27,123676
Lazaro Vazquez,28,74719
Nathanial Sosa,35,108663
Granville Armstrong,29,109277
Robyn Marks,27,71037
Jerald Best,37,129551
Mauricio Donovan,28,103637
Patricia Perez,29,120438
Hollie Mcneil,29,83982
Minh Blackwell,31,129486
Russ Green,32,130415
Leola Page,28,107013
Bret Li,27,99486
Damion Brown,30,105382
Christi Bishop,30,48781
Willis Church,28,74541
Ben Lopez,29,72820
Coy Mack,33,96159
Aldo Barajas,29,92844
Gloria Bennett,29,97729
Wm Castaneda,29,117991
Maxwell Wilcox,36,91361
Keneth Quinn,30,71298
Broderick Bailey,31,70743
Douglass Orozco,29,70138
Tyrell Jacobson,28,100240
Timmy Figueroa,38,207203
Brett Rose,29,110728
Arden Farley,29,139364
John Dunn,28,140056
Del Parks,31,145105
Reid Gordon,30,162943
Seymour Hull,29,186208
Jack Mcgee,32,191502
Lindsay Anthony,26,84520
Claude Moore,33,118536
Helga Burch,30,85584
Diann Savage,29,113651
Forest Pruitt,27,135074
Kieth Burch,27,115949
Arline Bryan,30,175009
Jules Humphrey,29,122333
Emmitt Yu,29,99332
Hung Bryant,28,107224
Chris Bell,28,120402
Domingo Swanson,30,62631
Esther Patton,29,74423
Dana Gregory,33,150835
Stacey Robertson,27,146866
Kim Schneider,31,54393
Claudia Curtis,27,74356
Jaime Tate,26,116583
Jim Thompson,27,63166
Dane Gaines,32,108713
Martin White,29,167460
Freddy Stuart,28,60716
Theodore Burke,30,69042
Elinor Price,28,70535
Weldon Hurley,36,153452
Royce Strickland,32,146453
Jay Palmer,26,110670
Yvette Buchanan,28,100092
Callie Melendez,32,104517
Dina Zavala,29,69603
Jesse Shaffer,30,93549
Dirk Reed,33,88401
Hyman Morales,29,107020
Zachery Friedman,26,103017
Ladonna Berry,29,51500
Jenifer Montgomery,26,79188
Robby Blevins,27,100191
Oliver Vaughn,32,69887
Marina Potter,28,106244
Robt Walters,31,70419
Jarrod Cooley,28,52381
Marietta Odom,30,77255
Beatrice Patterson,33,95562
Thad Bass,27,97288
Keenan Cherry,26,62624
Alden Tucker,33,174820
Francesca Cochran,29,100765
Rosa Hubbard,29,144402
Natalie Macias,27,80725
Fred Dougherty,32,118096
Wes David,43,173659
Mohamed Rocha,27,75450
Michelle Daugherty,27,100542
Barney Hopkins,34,155161
Benito Owen,31,78878
Maria Proctor,28,92547
Corina Copeland,32,124895
Elva Andrade,26,74885
Raymond Henderson,29,122166
Drew Rush,28,94296
Roosevelt Nguyen,28,116894
Marcus Shields,27,82998
Isreal Herrera,30,109628
Kate Kane,27,93611
Lane Kennedy,29,85793
Francesco Orr,29,75978
Raquel Velasquez,38,157102
Winston Melton,27,101000
Norman Martinez,30,93076
Elwood Mercado,28,63511
Tracie Mora,31,91262
Marlon Russell,27,140492
Noah Orozco,26,91489
Miles Huffman,30,92467
Harriett Turner,27,72001
Young Cervantes,26,108075
Reginald Page,27,91523
Ted Blair,30,70687
Ezra Stewart,31,111970
Luis Hester,30,70567
Patty Prince,27,81596
Lourdes Valenzuela,26,73607
Tyrell Oneill,32,93163
Emmanuel Morgan,28,150024
Hal Henderson,27,107214
Aaron Reyes,26,108779
Roderick Arias,26,116311
Latisha Cook,30,72627
Shelly Carrillo,27,91397
Sal Briggs,42,148300
Spencer Archer,28,93547
Elmo Hutchinson,34,219719
Armand Avery,40,142009
Gordon Zamora,33,142813
Jeromy Calderon,32,93208
Chong Shelton,31,144561
Hector Curtis,31,143546
Deena Hughes,30,112724
Donnie Blevins,26,105562
Darnell Oconnell,29,108062
Cecil Tran,27,103495
Frances Christensen,27,125696
Heidi Finley,26,106458
Bret Jennings,36,76767
Fritz Andrade,30,79386
Jean Hammond,28,57697
Shirley Morales,27,127918
Herman Garza,30,118216
Robin Carey,27,134066
Cameron Brennan,34,230169
Rowena Oneal,27,107608
Freddie Whitaker,28,147430
Cecelia Lynn,27,111452
Man Woods,31,134108
Nellie Shah,26,82709
Arden Gaines,29,92080
Brice Downs,26,108375
Roland Castillo,29,96064
Howard Dorsey,31,86702
Elisa Benson,30,101524
Bridget Sexton,26,106020
Herb Greene,25,73046
Doris Ryan,29,126911
Roman Logan,26,83385
Gretchen Harrell,33,90121
Lincoln Rosales,29,93662
Tamika Clements,27,98298
Nathanael Campos,35,85800
Teodoro Foster,30,148974
Cedric Mckinney,32,92577
Christopher Huff,27,89161
Cristopher Church,30,98465
Perry Collier,31,116926
Scott Brewer,28,118082
Tonia Harrison,32,174604
Chris Oconnor,32,117175
Carol Perez,28,98958
Florine Porter,28,102242
Sherwood Preston,35,143997
Lester Patton,37,141233
Angeline Freeman,28,140228
Pablo Bowers,26,72189
Ellsworth Barajas,29,109774
Jeannine Carr,30,69026
Galen Alvarado,28,101952
Booker Hensley,30,130019
Rex Rodgers,28,110644
John Villarreal,30,87887
Jae Montoya,37,147766
Edward Ray,37,110433
Cortez Blackburn,27,88431
Elmer Marshall,31,138075
Elaine Moyer,28,84276
Robby Armstrong,31,137463
Ashlee Cochran,27,109277
Candy Goodwin,26,77842
Felton Hunt,55,260469
Jesus Vance,30,82367
Heath Jefferson,29,81860
Jody Knight,27,115960
Krystal Mckee,26,96746
Mallory Stein,30,100779
Arnoldo Simon,38,96176
Alfonso Oneal,34,83741
Sadie Lin,30,80953
Isaac Bautista,27,116079
George Hobbs,26,85701
Ophelia Osborne,30,129642
Otto Wiggins,32,109312
Oren Frank,29,74745
Delmer Rollins,30,85621
Elmo Harrison,47,48700
Desiree Contreras,27,108661
Mac Gutierrez,30,115043
Marvin Lambert,27,150262
Rodolfo Holder,32,125683
Denver Stephenson,30,94470
Garth Ali,30,72668
Jolene Blackwell,26,81589
Judson Mckay,30,79797
Elliot Bowen,26,98700
Houston Olsen,28,115875
Efrain Bruce,28,106809
Dorsey Blankenship,29,78971
Odis Meadows,27,81586
Earnestine Mckay,27,100398
Rosella Byrd,27,67203
Elijah Austin,26,102362
Gavin Andrade,30,137455
Natasha Ford,27,82355
Rashad Walton,26,61527
Son Mendoza,30,79319
Huey Hart,27,122002
Darla West,26,78245
Sylvia Moss,32,61112
Tracey Holden,28,70343
Graig Dodson,28,85714
Dewitt Spence,31,107115
Lesley Dominguez,34,108090
Ezra Pugh,28,68514
Eusebio Mcguire,31,102217
Leon Weeks,34,173112
Isiah Mckenzie,30,79618
Genaro Wells,27,85603
Milton Payne,33,166456
Owen Johnston,28,103423
Priscilla Griffith,32,68930
Eliseo Miles,31,122371
Arthur Conner,27,77701
Ahmed Bates,28,84390
Sid Thomas,31,198861
Carl Finley,27,73202
Corina Castro,34,92482
Enrique Manning,30,118903
Simon Griffith,36,180068
Valentin West,26,74587
Mandy Becker,26,101009
Garry Mullins,28,97051
Leopoldo Jordan,29,55417
Bill Murillo,26,90268
Earnest Park,29,157073
Kirsten Valencia,31,80703
Renato Jarvis,27,122594
Mike Hardy,27,88013
Amy Mcconnell,43,108545
Erich Gaines,31,59434
Derick Garcia,30,132492
Seth Morton,26,77920
Alison Orozco,26,105785
Duncan Dominguez,28,74184
Archie Carey,27,64185
Annmarie Ortega,27,61431
Leslie Ritter,30,111990
Roman Roth,26,98447
Kelly Estes,26,72443
Reynaldo Solomon,34,154735
Jed Gates,26,67877
Tracey Stevenson,32,257657
Kristy Mccall,26,74000
Rosalind Henry,25,88442
Pauline Clarke,27,97540
Agnes Holloway,25,77307
Fausto Crawford,26,80786
Melba Roberts,26,81242
Toney Galvan,27,90175
Marguerite Pitts,26,70283
Steve Swanson,28,136146
Lindsey Mcgee,29,69688
Clarissa Macdonald,26,63741
Tobias Christian,28,121039
Julianne Dennis,25,53128
Timmy Mcdonald,28,75713
Johnson Torres,25,76237
Emilia Dennis,25,75568
Jerold Foley,28,90906
Everett Wade,27,96914
Cecile Morgan,27,92272
Therese Melendez,25,99399
Ginger Rogers,25,98754
Marissa Foley,25,88079
Bridgette Todd,25,88438
Elton Ho,31,98129
Fannie Coleman,28,111829
Scot Lee,28,105063
Deon Santana,26,81888
Erick Hanson,26,88602
Tim Lambert,25,85770
Toby Hanna,37,130127
Lon Price,32,53032
Natasha Faulkner,29,68986
Cameron Cross,25,85705
Augustus Gardner,34,106675
Mable Coffey,25,78035
Ricardo Zimmerman,28,83647
Glen Sutton,25,96638
Mel Hughes,28,96209
Monica Moreno,27,131494
Leonel Roman,25,123276
Nannie Wu,29,70014
Selena Shaw,28,78888
Leif Pitts,29,76493
Devon Haley,35,91847
Jame Haas,31,59002
Wilburn Salinas,30,126298
Forest Clements,26,126193
Arnulfo Snow,31,87803
Christi Mccoy,29,77715
Rosalind Browning,27,83870
Colton Hensley,31,129458
Eli Pittman,28,99193
Barbra Sosa,26,89404
Lionel Campos,26,101663
Wyatt Chaney,26,82474
Kayla Rowland,26,81960
Juan Ballard,26,98506
Michal Wilcox,26,90127
Calvin Jacobs,29,105150
Delbert Krause,27,53822
Tuan Pennington,26,68593
Mckinley Lambert,33,216340
Mose Duran,32,186929
Jordan Hopkins,41,212855
Antonio Flynn,30,142761
Raul Roberson,37,160372
Terrie Curry,31,117830
Gabriel Foley,33,85998
Damon Villanueva,37,97432
Jamison Lam,33,98151
Marisol Greer,33,105074
Darron Moore,26,108763
Erich Carroll,31,210658
Evangeline Mata,27,73438
Karl Cherry,30,113871
Eduardo Dixon,34,111772
Anibal Velazquez,30,116605
Bo Vance,29,94465
Wendell Valencia,29,122659
Hans King,44,305193
Aaron Hanna,28,70903
Landon Gregory,28,92210
Jerry Duncan,26,135401
Aileen Gardner,34,56141
Rolf Robbins,31,117095
Jesus Blankenship,32,123406
Justine Whitney,31,78442
Jorge Odom,28,135377
Alonzo Morse,35,135594
Ellen Carey,30,97535
Sybil Cordova,28,77600
Jessie Montes,37,122076
Marcellus Trujillo,46,139906
Norbert Schneider,42,297643
Refugio Thompson,28,84900
Raymon Mcintyre,31,130833
Quincy Santos,32,149027
Judson Mann,30,90502
Coy Shepherd,28,132771
Robert Reynolds,30,77925
Cliff Barrett,36,129736
Ervin Maddox,27,86536
Jenna Doyle,36,127485
Alexander Galvan,32,111248
Sonia Moran,28,106337
Jimmie Lozano,30,252120
Otis Farley,36,135403
Susan Burke,28,133198
Jack Walsh,30,110263
Herbert Randall,35,196955
Hunter Downs,28,106601
Bruce Bradshaw,28,99832
Frank Osborn,30,113980
Forrest Salazar,32,126679
Roseann Nguyen,29,162244
Alfonzo Kennedy,33,138768
Mohammad Glass,32,97202
Elvin Owens,33,127739
Rickie Logan,31,114416
Buford Guerra,29,127030
Danilo Burton,27,88950
Glenna Moyer,30,108654
Harrison Mcintyre,29,125892
Nelson Townsend,31,112244
Malcolm Petty,36,144192
Clement Cunningham,31,118308
Dana Hartman,29,121443
Phil Hopkins,30,120689
Hipolito Dickerson,34,83352
Joyce Camacho,40,212362
Josue Ramos,30,121450
Jefferson Romero,30,169651
Refugio Campbell,26,70410
Tonya Woodard,32,113420
Joesph Mcguire,31,164265
Paris Mahoney,30,131468
Benjamin Hess,30,136705
Sophia Cabrera,25,65079
Francisco Raymond,36,178059
Stuart Vang,30,69908
Anibal Douglas,32,145906
Waylon Hester,26,71557
Davis Herrera,29,101764
Joseph Brooks,32,144319
Kyle Castillo,33,105598
Zachariah Montoya,32,109937
Bettie Barber,29,116186
Sherwood Clarke,30,80219
Cedrick Sampson,30,156428
Dorsey Shepherd,29,100678
Nikki Trevino,30,112539
Odell Lawson,26,110366
Cyrus Figueroa,37,191794
Tina Suarez,26,67504
Gerald Carrillo,38,171345
Octavio Bentley,32,83107
Edgardo Landry,35,127873
Coy Gates,27,69288
Frankie Stafford,32,176675
Norberto Mercer,36,204436
Gabriel Morgan,29,100307
Trina Ho,26,91115
Rose Serrano,29,79965
Manual Fleming,27,82434
Katharine Ellison,31,89572
Darwin Armstrong,33,192551
Troy Bass,28,76532
Cecil Alexander,34,184211
Christina Hahn,32,60143
Nestor Parsons,50,466509
Ian Bolton,39,247288
Ira Lester,32,138748
Clara Carrillo,28,138662
Tessa Stone,29,88108
Willa Combs,26,83428
Augusta Zimmerman,29,127561
Celia Lambert,26,68251
Donnell Summers,38,70499
Dominic Ferrell,28,105057
Drew Cooley,30,205241
Emile Key,28,138391
Scot Chandler,32,119255
Mark Mckay,37,201134
Janis Kelley,25,93265
Leonard Coffey,26,109871
Stacey Munoz,33,124247
Maryanne Haney,32,106700
Mike Potter,29,131117
Rudolph Daniel,32,156140
Margarito Navarro,25,78703
Jacques Sparks,31,113944
Frieda Delgado,25,82684
Rolf Wilson,33,89617
Gerardo Rodriguez,24,87195
Shirley Acevedo,26,113287
Colette Mahoney,26,84966
Verna Richmond,25,53246
Abe George,25,87371
Cortez Pennington,27,91043
Elvin Black,24,77272
Jared Hoffman,25,104482
Vanessa Andersen,25,65656
Elwood Glass,25,104606
Cora Terrell,24,113175
Fernando Leonard,31,135797
Jeffrey Dickerson,33,195606
Tanner Holder,25,77555
Jim Greer,31,97476
Gavin Chen,26,96581
Cedrick Booth,31,110641
Lea Norris,27,83305
Marci Villegas,27,59946
Efrain Terrell,32,140034
Rob Bauer,28,93057
Roosevelt Neal,25,81920
Mauro Whitney,35,232694
Dana Ferrell,32,164672
Shelton Blackburn,28,68333
Thelma Beard,36,72988
Cristobal Parks,33,95008
Erich Santos,26,111272
Monty Dixon,27,70912
Antione Vaughan,25,66594
Tamera Boyd,29,113818
Gabrielle Moore,25,80120
Eddie Morrow,27,102323
Ernest Mahoney,31,96393
Aurelia Phillips,29,82246
Belinda Moran,25,83360
Mel Miles,25,88261
Aline Kirk,26,83849
Aida Rocha,25,80330
Osvaldo Welch,29,84716
Rosanna Glenn,26,58870
Lauren Ponce,26,70299
Casandra Cochran,28,71462
Colby Alexander,36,110360
Michale Vincent,33,117543
Clay Mccarthy,30,93811
Paul Doyle,36,119339
Merrill Simpson,31,172413
Stefan Banks,39,135145
Jane Turner,25,66826
Aurelio Powell,30,90429
Tania Yoder,27,107703
Long Krause,26,65134
Nathanael Sampson,27,97972
Freda Chapman,25,61568
Leticia Kim,30,79056
Margret Brewer,26,68578
Jospeh Arellano,35,104657
Kenton Richards,27,90035
Denver Aguirre,27,126329
Zachariah Blanchard,32,186596
Ismael Jacobs,28,67324
Misty Warner,25,93041
Stewart Schroeder,30,81918
Reed Mathews,39,134895
Lessie Irwin,29,97405
Stan Nash,26,97554
Stanley Newton,25,84416
Cora Davila,26,66720
Edmund Rich,28,104759
Cathleen Rosales,32,93538
Hal Burton,31,104367
Hilda English,26,76129
Fern Middleton,34,84901
Juliet Soto,31,85111
Bruce Ruiz,34,137084
Roosevelt Bennett,27,65128
Emory Houston,26,82089
Horace Russell,26,76008
Darell Church,29,104250
Olen Yoder,25,108539
Victoria Werner,27,83758
Jeromy Pacheco,29,92684
Essie Reese,25,77481
Marlon Orozco,40,174917
Elroy Ware,25,88868
Roscoe Moore,26,74490
Keenan Estes,25,78200
Warren Camacho,25,70863
Joan Owen,27,79425
Jarred Mata,36,128485
Elton Odom,26,91024
Filiberto Becker,26,78703
Kristina Montoya,27,47029
Sherrie Leonard,24,63951
Jill Oneill,25,68719
Elsa Salinas,25,70847
Adan Baxter,26,97566
Mauricio Cervantes,24,76036
Melody Munoz,25,63311
Albert Velazquez,24,57902
Harry Cook,25,75722
Kerry Hunter,25,85071
Johnathon Day,25,63517
Wilson Ingram,24,89514
Kristy Orozco,25,93351
Allan Wilkins,25,63562
Lucia Spencer,26,57793
Leon Pugh,24,73933
Bessie Brennan,24,70991
Faith Krause,25,85731
Clare Bradley,25,83381
Marion Oconnor,26,94393
Angel Powell,26,80178
Josh Pace,25,82360
Nickolas Gill,29,109260
Kelsey Parsons,24,68305
Freddie Friedman,24,63733
Otto Hogan,30,153119
Ulysses Haas,24,74714
Laurie Morales,24,52500
Cody Dorsey,27,93247
Man Sheppard,24,87863
Glen Silva,27,91099
Shon Lambert,27,66103
Damon Marsh,30,153689
Lindsay Trevino,26,59055
Danielle Estrada,27,59926
Benjamin James,29,58372
Tyler Collins,44,202960
Pauline Herman,28,97704
Art Serrano,27,58433
Rhea Bennett,27,72026
Jessie Dean,28,63186
Brooke Joyce,24,87469
Betty Tanner,25,47548
Karla Hopkins,27,63788
Fredric Oneal,30,102627
Etta Maldonado,27,58263
Owen Barajas,30,136478
Abe Esparza,28,53573
Lucius Underwood,29,74051
Coy Charles,44,234720
Osvaldo Tyler,27,103984
Marlin Kramer,25,65229
Martha Smith,26,57097
Ivory Mitchell,26,77730
Dion Holmes,27,67430
Edward Newman,25,63204
Danial Mooney,25,67231
Noelle Blair,28,75769
Holly Perry,24,90114
Isabel Daugherty,28,95093
Lionel Noble,25,89658
Edwardo Benjamin,25,78741
Kathrine Frost,25,68561
Rosemary Turner,24,74162
Lilian Garrison,41,97155
Leta Burnett,25,74134
Damon Harper,27,104867
Ellis Cook,25,71686
Sean Snyder,26,97820
Keneth Frost,23,88191
Avery Chan,22,65104
Josue Buchanan,26,55655
Olen Ortiz,27,93809
Vickie Sweeney,25,50467
Armand Meadows,29,62457
Myra Hill,37,187313
Leigh Chang,25,79985
Blanche Villanueva,31,147528
Dorian Crane,26,50868
Maureen Beard,24,80427
Denise Simmons,24,55349
Jefferey Aguirre,24,58011
Kristofer Allen,23,81308
Reuben Lane,23,49351
Houston Krause,24,43546
Luis Baxter,24,60636
Brant Salinas,23,54852
Oswaldo Landry,24,52449
Lacy Lara,23,64743
Claudio Rowland,25,58384
Kelley Dorsey,24,55536
Deana Lucero,23,55649
Russel Weeks,24,69269
Sasha Pitts,23,71514
Colette Fowler,23,73330
Stan Pratt,25,83398
Buford Mcguire,23,51874
Mara Chaney,23,79134
Elise Buchanan,23,64486
Zachery Zavala,24,61425
Augusta Crane,23,67088
Jesus Delgado,24,66840
Trenton Petty,23,71403
Harlan Atkinson,24,62846
Tanner Bailey,23,67456
Gerald Gross,24,58616
Wilmer Salas,24,72951
Zack Moses,23,68500
Deangelo Chen,24,73236
Dillon Woodard,24,56356
Raymond Shah,23,65728
Carter Irwin,25,30791
Deann Cabrera,24,63631
Tyrell Hall,32,113361
Elijah Grimes,25,89843
Kimberley Padilla,23,88221
Ophelia Humphrey,24,84763
Ofelia Foley,25,91486
Patty Neal,24,34721
Stella Henry,28,45679
Serena Dawson,25,94696
Neville Wright,24,82027
Katherine Ellison,23,43545
Sherman Pugh,30,136475
Milton Adkins,26,87083
Madeline Navarro,23,41442
Anthony Simon,26,88838
Shelby Wu,36,151230
Amelia Duran,37,232911
Gabriel Winters,22,58807
Ernie Dalton,30,133105
Leroy Gaines,22,98736
Chase Hobbs,22,66965
Mari Boone,22,51646
Elba Branch,24,50731
Evelyn Barrera,23,58789
Wilber Haney,23,58666
Jon Jordan,23,57525
Mack Chase,24,61099
Giuseppe Dougherty,22,48392
Arturo Saunders,22,62861
Sebastian Briggs,23,60776
Tanner Norman,23,55538
Cristopher Hall,23,57750
Domenic Ross,23,72649
Erwin Carson,23,52801
Mark Walters,23,57433
Juliet Morrison,23,49443
Lonnie Wheeler,24,46693
Thaddeus Reed,23,53660
Edmond Bowman,22,58389
Jerald Hardin,22,60441
Margo Dixon,22,57558
Stanford Bean,22,56672
Freddie Curry,27,88797
Doris Clarke,23,51646
Wilburn Barton,22,51913
Dewey Stephens,21,57813
Jodi Dean,23,53517
Cherry Gentry,23,58352
Kirk Orr,28,65668
Errol Villa,22,65910
Melba Novak,22,67362
Logan Yu,22,56340
Art Trujillo,22,56688
Debra Calhoun,22,58851
Traci Middleton,24,54138
Tobias Hurley,21,54940
Bryant Bolton,23,57343
Willis Beasley,23,57236
Donn Gibbs,22,51063
Irma Barry,23,66069
Malcom Reynolds,22,54652
Johanna Bray,36,275262
Simon Parker,22,57896
Clyde Strong,26,62049
Asa Mcdowell,25,63986
Colby Hines,25,101954
Trina Solis,30,57883
Eliza Valenzuela,22,58372
Milan Powers,34,116978
Elisha Fuller,22,57160
Liza Poole,22,82614
Bettye Carlson,39,272
Marcus Schmitt,33,2511
Royal Henry,29,736
Lynda Benitez,27,146080
Trevor Tanner,36,24325
Javier Cordova,34,267063
Dylan Velasquez,27,79911
Brady Calhoun,36,587612
Ethan Obrien,31,40690
Brian Trevino,26,107543
Rickey Oliver,33,26845
Darius Wilkerson,29,88734
Erick Ballard,27,133024
Lawerence Downs,29,71246
Abdul Watkins,47,220778
Chase Fernandez,27,114441
